Student_ID,Name,Age,Gender,City,Class,Attendance_Percentage,Study_Hours_per_day,Math_Score,Science_Score,English_Score,Total_Score,Parent_Education,Internet_Access,Result
1978,Bristi Khan,16,MALE,Mymensingh,Eight,77.0,2.6,83,62,68,213.0,PRIMARY,no,FAIL
3881,hasan akter,12,F,Dhaka ,10th,88.5,3.8,45,56,92,193.0,Secondary,NO,fail
53,Sohan Talukder,14,Male,Khulna,7th,65.1,3.6,37,82,89,208.0,N/A,NO,fail
2552,Mitu Hossain,11,FEMALE,Rajshahi,Ten,82.8,4.2,83,96,59,238.0,illiterate,N,PASS
2247,Ayesha Ahmed,14,other,KHULNA ,9th,94.2,1.4,81,36,48,165.0,primary,0,pass
271,Jannat Hossain,18,M,sylhet,10th,82.1,4.9,47,48,65,160.0,GRADUATE,0,Pass
602,Imran Ahmed,17,female,Barisal,9th,96.1,4.6,83,51,94,228.0,illiterate,,Pass
2442,Rakib Chowdhury,12,FEMALE,Mymensign,10th,102.7,3.5,36,80,46,162.0,PRIMARY,No,P
3287,Nadia Islam,15,FEMALE,Rangpur,10,83.6,5.7,76,75,,151.0,,Y,pass
2968,Momo Ahmed,18,Female,Dacca,8th,77.9,1.7,,92,30,122.0,higher secondary,No,P
4713,Nusrat Talukder,14,FEMALE,CHATTOGRAM,Seven,82.3,0.8,69,92,38,199.0,Primary,,fail
9033,Rakib Das,12,other,mymensingh,7th,75.0,3.8,32,37,77,146.0,Post Graduate,n/a,Fail
1788,Mim Rahman,227,F,khulna,Ten,96.6,2.3,67,45,50,162.0,Unknown,0,PASS
1699,Jannat Akter,11,F,Sylhet,Ten,79.2,4.8,93,61,80,234.0,Primary,0,P
3226,Imran Hossain,11,female,Rangpur,7th,79.0,0.7,67,78,30,175.0,GRADUATE,No,F
404,Nusrat Das,13,male,Chattogram,10,81.2,3.9,97,62,65,224.0,Unknown,,FAIL
3535,Zayed Das,fifteen,FEMALE,DHAKA,7,78.1,0.8,98,93,54,245.0,illiterate,Y,fail
6047,Zayed Rahman,11,,khulna,9th,92.2,3.3,90,51,85,226.0,Graduate,1,fail
3048,Imran Khan,11,FEMALE,rangpur,Seven,90.3,2.6,36,,50,86.0,N/A,N,pass
8863,Farhan Ahmed,11,,Rangpur,06,87.3,3.1,48,44,64,156.0,N/A,Y,PASS
7147,Karim Chowdhury,15,other,chittagong,6th,85.5,4.6,60,229,64,353.0,higher secondary,yes,Fail
508,Kabir Das,,male,Rangpur,9,103.0,3.6,,63,38,101.0,GRADUATE,Y,Pass
STU-04477,Kabir Khan,12,MALE,Chittagong,7,77.2,2.3,78,-12,87,,Illiterate,YES,FAIL
1678,Bristi Chowdhury,12,M,  Dhaka,8th,70.0,3.0,65,54,40,159.0,primary,1,
2021,Nadia Islam,17,Female,Barishal,9,77.0,3.0,72,80,54,206.0,primary,,FAIL
1683,Sadia Chowdhury,14,female,Rangpur,10th,96.9,-1.3,92,71,93,256.0,illiterate,0,Fail
1650,Nadia Chowdhury,11,,mymensingh,Eight,81.4,4.8,40,84,31,155.0,GRADUATE,Yes,Pass
2422,Imran Akter,16,F,mymensingh,Seven,84.3,2.4,46,67,53,166.0,Secondary,No,P
7538,Imran Rahman,13,F,rangpur,8th,91.9,1.8,43,63,89,195.0,illiterate,n/a,F
4794,Karim Khan,13,male,Ctg,7th,96.4,4.3,51,31,36,118.0,graduate,yes,Pass
9637,Rafi Das,18,male,Rangpur,06,,3.7,37,53,97,187.0,Unknown,Yes,pass
1016,Mim Das,12,Other,Rangpur,7,77.3,3.8,130,99,84,313.0,Higher Secondary,n/a,FAIL
8922,Priya Talukder,14,,Sylhet,10th,74.5,3.5,46,57,38,141.0,Secondary,No,PASS
3045,Rakib Islam,16,FEMALE,rangpur,Six,80.4,2.6,90,64,76,230.0,illiterate,no,PASS
STU-03499,Riya Rahman,18,male,Barishal,Seven,101.0,4.3,97,62,51,195.0,PRIMARY,Y,Pass
5525,Mim Hossain,11,male,Mymensign,10th,83.2,2.6,62,60,36,158.0,PRIMARY,Y,
9555,Arif Ahmed,17,F,Chittagong,9th,78.7,1.7,40,65,81,186.0,unknown,YES,PASS
2847,Karim Das,14,M,rangpur,Nine,98.0,3.1,33,84,83,200.0,higher secondary,YES,PASS
836,Priya Talukder,17,FEMALE,,10,89.6,2.2,51,96,85,232.0,higher secondary,Yes,FAIL
4864,Nusrat Hossain,15,,rangpur,7th,84.9,2.2,53,90,34,177.0,graduate,no,Fail
STU-03298,Anik Ahmed,fifteen,FEMALE,rangpur,7th,80.7,4.0,66,37,62,165.0,illiterate,YES,Pass
7962,Shila Ahmed,14,O,khulna,7th,75.9,3.5,66,79,99,244.0,GRADUATE,,
3146,Anik Ahmed,16,Other,SYLHET,10,92.9,5.9,61,74,80,215.0,Illiterate,0,Fail
6116,Shila Talukder,12,M,,7th,106.2,0.8,72,84,85,241.0,,,FAIL
1902,Mim Khan,11,female,Sylhet,10th,84.0,0.0,61,37,47,145.0,postgraduate,1,P
1412,Anik Islam,18,Female,sylhet,Eight,85.0,5.8,absent,65,99,164.0,illiterate,YES,FAIL
624,Nadia Akter,17,FEMALE,Ctg,8th,77.9,5.5,91,42,35,168.0,secondary,NO,P
3504,Sabbir Khan,14,male,CHATTOGRAM,10th,87.4,3.2,61,63,62,186.0,Graduate,yes,P
3067,Riya Chowdhury,13,Other,khulna,8th,167.3,2.7,50,30,87,167.0,primary,No,
642,Rupa Islam,11,MALE,sylhet,Nine,N/A,1.3,69,52,85,206.0,secondary,0,Pass
2171,Sadia Islam,11,Male,KHULNA ,Ten,82.8,2.4,42,72,66,180.0,postgraduate,0,pass
6822,Tanvir Rahman,18,M,SYLHET,10,100.9,4.7,79,76,83,236.0,Graduate,No,PASS
7419,Arif Islam,,MALE,khulna,9th,74.2,4.8,93,76,31,200.0,Illiterate,N,Pass
1720,Imran Sarker,12,M,SYLHET,6,80.1,7.5,57,95,90,242.0,N/A,NO,Pass
1303,Riya Das,18,Female,rajshahi,9,91.7,3.2,49,45,50,144.0,graduate,0,Pass
7828,Sadia Talukder,16,other,KHULNA ,9,82.8,1.9,61,78,59,198.0,Secondary,YES,F
5793,Farhan Rahman,12,F,Barishal,06,81.1,3.0,37,97,89,223.0,graduate,n/a,pass
1523,Mim Sarker,16,M,CHATTOGRAM,9,82.1,2.4,48,92,75,215.0,secondary,No,FAIL
8338,Tanvir Sarker,18,F,Ctg,Eight,96.3,,79,50,57,186.0,PRIMARY,no,Pass
3436,Rakib Akter,12,other,rangpur,10th,78.3,9.7,33,41,71,145.0,PRIMARY,0,F
3657,Arif Khan,11,O,Mymensign,7th,88.2,3.5,65,96,59,220.0,Illiterate,1,
5549,Tanvir Islam,18,MALE,Rajshahi ,10,76.9,2.9,49,89,-19,119.0,Primary,Y,PASS
66,Lima Khan,18,female,Dacca,6th,80.1,3.3,37,55,63,155.0,secondary,No,pass
2418,Kabir Das,13,female,Mymensign,Eight,79.2,1.6,72,57,50,179.0,GRADUATE,no,pass
3693,Mim Rahman,12,F,khulna,Seven,79.3,4.4,52,52,50,154.0,Primary,N,Fail
4000,Tanvir Khan,12,female,rajshahi,10th,97.0,2.4,53,50,89,192.0,graduate,,pass
5498,Sabbir Ahmed,12,other,Khulna,10,90.2,4.7,91,86,65,242.0,Unknown,yes,Pass
439,Sadia Ahmed,18,Male,KHULNA ,Seven,87.1,5.6,76,64,48,188.0,Unknown,N,pass
3567,Sabbir Akter,13,F,Dhaka,Nine,85.3,4.6,66,57,79,202.0,Illiterate,No,Pass
6932,Sabbir Akter,14,Other,Dacca,7,90.5,3.0,72,70,55,197.0,Post Graduate,,pass
1819,Mim Das,14,MALE,Chattogram,Nine,87.4,1.7,30,87,,117.0,GRADUATE,Y,pass
3606,Bristi Rahman,14,male,Rajshahi ,6,84.7,2.0,97,47,49,193.0,illiterate,YES,pass
2795,Sadia Sarker,18,F,rajshahi,Seven,-11.3,4.9,74,81,94,249.0,higher secondary,N,P
5078,Tamim Talukder,17,O,Chattogram,6,102.0,1.4,72,98,88,258.0,Primary,YES,PASS
2466,Arif Ahmed,-9,Male,Mymensingh,9th,80.9,1.9,75,90,90,255.0,postgraduate,No,
4313,Nusrat Akter,18,FEMALE,Mymensingh,9th,100.4,1.8,67,42,83,192.0,unknown,N,PASS
5234,Sabbir Ahmed,17,Female,Ctg,9th,80.6,3.3,45,87,93,225.0,Post Graduate,no,Fail
6476,Farhan Akter,12,Other,Rangpur,10th,73.9,2.9,55,82,-11,126.0,unknown,no,Fail
4467,Kabir Talukder,15,Other,Ctg,Six,92.1,1.7,92,60,48,200.0,graduate,Yes,F
4382,Rafi Khan,17,Male,Ctg,Eight,65.1,3.9,32,68,74,174.0,Higher Secondary,Yes,Fail
5121,Nadia Talukder,17,Female,sylhet,8th,87.6,4.3,78,56,57,191.0,Unknown,yes,Fail
4563,Bristi Islam,16,Other,  Dhaka,Nine,93.1,1.6,99,43,84,226.0,higher secondary,1,PASS
379,Zayed Chowdhury,13,F,CHATTOGRAM,Eight,93.6,3.5,52,88,75,215.0,illiterate,n/a,pass
2760,Lima Ahmed,11,FEMALE,Khulna,6,73.9,4.1,81,85,92,258.0,Illiterate,Y,pass
6960,Fatema Chowdhury,16,F,KHULNA ,8,88.7,2.7,49,,55,85.0,postgraduate,yes,pass
6782,Bristi Sarker,15,MALE,mymensingh,6,84.8,0.4,37,93,80,210.0,Higher Secondary,no,FAIL
1290,Arif Sarker,11,MALE,sylhet,7th,71.2,2.7,88,30,32,150.0,Post Graduate,n/a,P
6744,Nadia Chowdhury,11,MALE,Mymensign,Six,88.2,0.7,92,37,54,183.0,Secondary,n/a,PASS
12,Karim Das,13,Male,Mymensign,10,89.8,5.0,70,57,36,163.0,Illiterate,yes,P
2067,Momo Das,16,Male,dhaka,06,99.3,0.2,35,32,43,110.0,secondary,NO,PASS
6211,Arif Islam,18,M,Barishal,Nine,63.9,3.2,34,78,40,152.0,higher secondary,Yes,pass
4480,Priya Sarker,14,Male,mymensingh,10th,78.9,4.6,80,39,55,174.0,secondary,n/a,P
1056,Zayed Sarker,-8,,SYLHET,Seven,68.1,1.5,90,83,46,219.0,secondary,Y,F
3701,Rakib Akter,16,Male,  Dhaka,06,88.4,4.2,95,48,30,173.0,graduate,,pass
